# 命令
讲			座			:lecture
游泳			馆			:swimming
我要关键词			！！！			:keywords
周			次			:week
夜			宵			:nightingale
			:chat
安			排			:remind
书籍			推荐			:book
# 介绍
数据库			增加关键词还是比较简单啦,“；退学；交流；某某群；”，类似引号中输入，这样就加入数据库啦。这时候你回复＂退学交流＂，我就会告诉你某某群啦～
GitHub			https://github.com/Iydon/info_qq_bot
合作的说明			求对机器人感兴趣的同学，以及南科大攻略手册的制作者，完善机器人的功能和数据库，更好地在信息群询问更有价值的问题~加我好友后回复“合作”即可，欢迎小窗滴滴我~
合作			欢迎加作者QQ：1056736800。
HELP			查看关键词：“我要关键词！！！”。\n目前的命令：bus加星期如“bus1”、“数据库”、“讲座”、“游泳馆”、“夜宵”、“周次”、“书籍推荐”，闲聊以“。”开头。\n欢迎一起合作：https://github.com/Iydon/info_qq_bot！人工服务暂时下线，如果存在问题，请回复“合作”获得帮助~
bus			https://i.loli.net/2018/09/18/5ba0e4f689a5f.png。\nbus默认是按照星期判断节假日，所以如果节假日与星期不符，请使用bus+星期，例如“bus6”表示星期六的bus时间~
# 关键词
钥匙			塘朗新春燕照相馆门口，价格：10r。
邮编			南科大邮编：518055
辅导员			辅导员邮箱：除于璐（树仁辅导员，yul6）、王莲君（致诚辅导员，wanglj3）、陆经纬（树礼辅导员，lu_jingwei@126.com）外，均为 拼音+@sustc.edu.cn。
教学工作部			教学工作部工作时间：9:00-17:30。教学工作部邮箱：oaa@sustc.edu.cn，tao@sustc.edu.cn，位于慧园3栋209b。
教工			教学工作部工作时间：9:00-17:30。教学工作部邮箱：oaa@sustc.edu.cn，tao@sustc.edu.cn，位于慧园3栋209b。
学工			邮箱：osa@sustc.edu.cn，学生工作部电话：0755-88010519。
杨果			中文写作与交流课程教师邮箱：yangguo_1998@126.com
购物			塘朗：乐购、华润万家。民治：大润发。龙华：九方
语言中心			地址：慧园3 栋201，210。邮箱：cle@sustc.edu.cn
视界			http://new.sustc.edu.cn/?page_id=325
表白			南科大表白墙：3226978450、南科大表白墙（2）：2662845366。
表情包			南科大表情包研究中心：574096442
校巴			校巴时刻表：https://i.loli.net/2018/09/18/5ba0e4f689a5f.png?tdsourcetag=s_pctim_aiomsg
蛇			深圳市中医院热线（毒蛇咬伤）：88359666
